chr,start,end,group
chr1,7005828,7005846,24
chr1,7005846,7005864,24
chr1,7005864,7005882,24
chr1,9236651,9236669,21
chr1,9236650,9236668,32
chr1,9522373,9522391,22
chr1,9522358,9522376,24
chr1,9522378,9522396,31
chr1,9700948,9700966,22
chr1,9729566,9729584,33
chr1,9883526,9883544,21
chr1,9883525,9883543,32
chr1,10038453,10038471,4
chr1,13302140,13302158,2
chr1,13589157,13589175,26
chr1,13589156,13589174,35
chr1,15806122,15806140,2
chr1,16200864,16200882,11
chr1,16200832,16200850,13
chr1,16200851,16200869,13
chr1,16200840,16200858,22
chr1,16200829,16200847,33
chr1,16200848,16200866,33
chr1,20969456,20969474,24
chr1,20969474,20969492,24
chr1,20969501,20969519,24
chr1,20969519,20969537,24
chr1,21480316,21480334,87
chr1,33669919,33669937,4
chr1,33670093,33670111,22
chr1,34428916,34428934,3
chr1,34428953,34428971,11
chr1,34428915,34428933,14
chr1,34428948,34428966,21
chr1,34428942,34428960,22
chr1,34428921,34428939,24
chr1,34428939,34428957,24
chr1,34428947,34428965,32
chr1,34843218,34843236,1
chr1,34843217,34843235,12
chr1,34843206,34843224,72
chr1,35816842,35816860,24
chr1,35862393,35862411,2
chr1,35943751,35943769,22
chr1,35944286,35944304,22
chr1,35944241,35944259,24
chr1,35944259,35944277,24
chr1,35944283,35944301,24
chr1,36309766,36309784,24
chr1,36797756,36797774,31
chr1,36920336,36920354,1
chr1,36920335,36920353,12
chr1,38664348,38664366,27
chr1,38664348,38664366,30
chr1,38664347,38664365,33
chr1,38898472,38898490,1
chr1,38898482,38898500,11
chr1,38898471,38898489,12
chr1,39842934,39842952,2
chr1,39902401,39902419,22
chr1,39902915,39902933,23
chr1,39902914,39902932,34
chr1,39936847,39936865,1
chr1,39936836,39936854,11
chr1,39936846,39936864,12
chr1,39944685,39944703,2
chr1,39955095,39955113,1
chr1,39955094,39955112,12
chr1,40381163,40381181,58
chr1,40381162,40381180,70
chr1,40381163,40381181,88
chr1,43403726,43403744,2
chr1,43451461,43451479,33
chr1,51071646,51071664,3
chr1,51071652,51071670,11
chr1,51071645,51071663,14
chr1,51071634,51071652,22
chr1,51071610,51071628,24
chr1,51071628,51071646,24
chr1,51071657,51071675,24
chr1,51071642,51071660,31
chr1,51071639,51071657,33
chr1,51121116,51121134,2
chr1,51578262,51578280,22
chr1,51586148,51586166,18
chr1,52009564,52009582,2
chr1,52008349,52008367,24
chr1,52116871,52116889,13
chr1,52650583,52650601,21
chr1,52650582,52650600,32
chr1,52653519,52653537,87
chr1,53076975,53076993,13
chr1,53077010,53077028,21
chr1,53077004,53077022,22
chr1,53076986,53077004,24
chr1,53077009,53077027,32
chr1,53728403,53728421,21
chr1,53728376,53728394,24
chr1,53728394,53728412,24
chr1,53728402,53728420,32
chr1,54493466,54493484,21
chr1,54493465,54493483,32
chr1,54585781,54585799,64
chr1,54585782,54585800,83
chr1,54585781,54585799,94
chr1,54914076,54914094,4
chr1,54914362,54914380,13
chr1,54922670,54922688,84
chr1,54925384,54925402,2
chr1,54925378,54925396,11
chr1,55031012,55031030,2
chr1,55031027,55031045,11
chr1,55405562,55405580,11
chr1,57436344,57436362,2
chr1,58303149,58303167,2
chr1,58310991,58311009,2
chr1,58713958,58713976,1
chr1,58715021,58715039,1
chr1,58714494,58714512,2
chr1,58713957,58713975,12
chr1,58715020,58715038,12
chr1,58714503,58714521,21
chr1,58712998,58713016,31
chr1,58714502,58714520,32
chr1,59316853,59316871,31
chr1,60074838,60074856,1
chr1,60074849,60074867,6
chr1,60074849,60074867,9
chr1,60074837,60074855,12
chr1,60074848,60074866,17
chr1,60352879,60352897,1
chr1,60352884,60352902,2
chr1,60352878,60352896,12
chr1,60759990,60760008,2
chr1,60761923,60761941,1
chr1,60761917,60761935,2
chr1,60761928,60761946,11
chr1,60761922,60761940,12
chr1,62876505,62876523,27
chr1,64088679,64088697,55
chr1,64121116,64121134,11
chr1,64120726,64120744,42
chr1,64308734,64308752,27
chr1,64308746,64308764,87
chr1,64533788,64533806,1
chr1,64533787,64533805,12
chr1,66496401,66496419,11
chr1,66496411,66496429,13
chr1,66496416,66496434,24
chr1,66496434,66496452,24
chr1,66496405,66496423,33
chr1,66678944,66678962,2
chr1,66678923,66678941,3
chr1,66678919,66678937,4
chr1,66678955,66678973,11
chr1,66678926,66678944,13
chr1,66678922,66678940,14
chr1,66678933,66678951,31
chr1,66758551,66758569,24
chr1,66863599,66863617,1
chr1,66863598,66863616,12
chr1,66863714,66863732,42
chr1,66987745,66987763,9
chr1,66987744,66987762,17
chr1,69687880,69687898,1
chr1,69687879,69687897,12
chr1,69688247,69688265,43
chr1,74178615,74178633,39
chr1,75248581,75248599,3
chr1,75248580,75248598,14
chr1,75522371,75522389,1
chr1,75522370,75522388,12
chr1,78538175,78538193,1
chr1,78538174,78538192,12
chr1,78538897,78538915,51
chr1,80361647,80361665,2
chr1,80361653,80361671,11
chr1,80361719,80361737,11
chr1,80361745,80361763,11
chr1,80361673,80361691,13
chr1,80361684,80361702,22
chr1,80361681,80361699,24
chr1,80384396,80384414,36
chr1,80389710,80389728,24
chr1,80416597,80416615,1
chr1,80416596,80416614,12
chr1,81375485,81375503,3
chr1,81375484,81375502,14
chr1,81375499,81375517,24
chr1,81375535,81375553,24
chr1,81375556,81375574,24
chr1,81375577,81375595,24
chr1,81375595,81375613,24
chr1,81375613,81375631,24
chr1,81375640,81375658,24
chr1,81375658,81375676,24
chr1,81375682,81375700,24
chr1,81375700,81375718,24
chr1,81375771,81375789,51
chr1,81375770,81375788,92
chr1,82296398,82296416,24
chr1,82296416,82296434,24
chr1,82803849,82803867,27
chr1,82831056,82831074,13
chr1,82831075,82831093,13
chr1,82831064,82831082,22
chr1,82831086,82831104,22
chr1,82900771,82900789,3
chr1,82900770,82900788,14
chr1,85111428,85111446,24
chr1,85730609,85730627,16
chr1,85735305,85735323,4
chr1,85752855,85752873,11
chr1,86344223,86344241,3
chr1,86344222,86344240,14
chr1,86405136,86405154,22
chr1,86405118,86405136,24
chr1,86441274,86441292,11
chr1,87607429,87607447,23
chr1,87607428,87607446,34
chr1,87847695,87847713,2
chr1,87847590,87847608,30
chr1,88475157,88475175,3
chr1,88475156,88475174,14
chr1,88475584,88475602,76
chr1,88611184,88611202,11
chr1,88616642,88616660,40
chr1,88643308,88643326,23
chr1,88643307,88643325,34
chr1,88684880,88684898,16
chr1,88684880,88684898,19
chr1,88701642,88701660,24
chr1,88698255,88698273,58
chr1,88698255,88698273,59
chr1,91054888,91054906,11
chr1,91056314,91056332,11
chr1,91093521,91093539,6
chr1,91093521,91093539,9
chr1,91093520,91093538,17
chr1,91095741,91095759,4
chr1,91100451,91100469,21
chr1,91100424,91100442,24
chr1,91100442,91100460,24
chr1,91100450,91100468,32
chr1,91190644,91190662,2
chr1,92235966,92235984,82
chr1,93755546,93755564,2
chr1,93825548,93825566,43
chr1,93825537,93825555,45
chr1,94979073,94979091,22
chr1,94979028,94979046,24
chr1,94979046,94979064,24
chr1,94979064,94979082,24
chr1,97525679,97525697,22
chr1,97525652,97525670,24
