chr,h_h_start,h_h_end,closest_TnG_start,closest_TnG_end,tng_alignment,distance_to_closest_TnG
chr1,3932145,3932163,4768477,4768517,1,836314
chr1,6417656,6417674,6417733,6417755,1,59
chr1,9798723,9798741,9798859,9798901,1,118
chr1,9976309,9976327,10037691,10037725,0,61364
chr1,10146946,10146964,10146937,10146952,1,0
chr1,11022282,11022300,11022190,11022206,0,-76
chr1,13464886,13464904,13464685,13464705,1,-181
chr1,13593378,13593397,13593430,13593452,0,33
chr1,13667837,13667855,13593430,13593452,1,-74385
chr1,15985170,15985188,15985139,15985181,1,0
chr1,16029470,16029488,16029459,16029481,1,0
chr1,16177590,16177608,16029482,16029504,0,-148086
chr1,16613695,16613713,16613656,16613697,0,0
chr1,20135504,20135522,20820527,20820553,0,685005
chr1,22427622,22427640,22427638,22427666,1,0
chr1,22653498,22653516,22653503,22653518,1,0
chr1,26965921,26965939,26965800,26965825,0,-96
chr1,26965973,26965991,26965800,26965825,0,-148
chr1,30699887,30699906,30920778,30920829,1,220872
chr1,31262843,31262864,31262852,31262874,1,0
chr1,33453740,33453758,33453753,33453769,1,0
chr1,33453824,33453842,33453836,33453855,1,0
chr1,33883182,33883200,33883168,33883187,1,0
chr1,34545778,34545796,34545766,34545781,1,0
chr1,36267728,36267746,36267097,36267131,1,-597
chr1,36273674,36273692,36267097,36267131,1,-6543
chr1,36708938,36708956,36737351,36737367,0,28395
chr1,37246918,37246936,37233124,37233146,0,-13772
chr1,37419404,37419422,37481466,37481492,0,62044
chr1,39714299,39714318,39714285,39714323,1,0
chr1,40618126,40618144,40618463,40618485,1,319
chr1,42300254,42300272,42300357,42300379,1,85
chr1,42851274,42851292,42640030,42640084,0,-211190
chr1,43403482,43403500,43403702,43403737,0,202
chr1,51361529,51361547,51361394,51361416,0,-113
chr1,52035446,52035464,52035410,52035424,1,-22
chr1,52052645,52052663,52052629,52052660,1,0
chr1,52052816,52052834,52052799,52052821,1,0
chr1,52245471,52245489,52245336,52245352,0,-119
chr1,52303059,52303077,52303086,52303101,0,9
chr1,52375507,52375526,52375207,52375226,1,-281
chr1,53350214,53350232,53610135,53610154,1,259903
chr1,53791619,53791637,53797351,53797367,1,5714
chr1,54251309,54251327,54251295,54251314,1,0
chr1,54860705,54860723,54871257,54871276,1,10534
chr1,54871469,54871488,54871461,54871476,1,0
chr1,56236919,56236937,56236925,56236958,1,0
chr1,57208617,57208635,57436339,57436361,0,227704
chr1,58975290,58975309,58975277,58975298,1,0
chr1,60087647,60087665,60087630,60087652,1,0
chr1,60755642,60755660,60755455,60755471,1,-171
chr1,60758524,60758542,60758463,60758485,0,-39
chr1,60825416,60825434,60825500,60825522,0,66
chr1,61016226,61016245,61016731,61016753,0,486
chr1,61107460,61107478,61107718,61107740,1,240
chr1,61434648,61434666,61434904,61434924,0,238
chr1,61434944,61434962,61434904,61434924,1,-20
chr1,63176923,63176941,63176891,63176905,1,-18
chr1,63423555,63423573,63423543,63423566,1,0
chr1,64266337,64266355,64266367,64266381,1,12
chr1,64709594,64709612,64709767,64709826,1,155
chr1,69119700,69119718,69119705,69119720,1,0
chr1,69420191,69420209,69420123,69420142,1,-49
chr1,70134495,70134513,70414133,70414148,1,279620
chr1,70414056,70414074,70414133,70414148,1,59
chr1,70893067,70893085,70893059,70893075,1,0
