chr,TnG_start,TnG_end,strand
chr1,4496462,4496478,+
chr1,5082892,5082916,+
chr1,6442011,6442069,+
chr1,7088365,7088392,+
chr1,7088744,7088760,+
chr1,7089452,7089466,+
chr1,7394668,7394684,+
chr1,7394914,7394930,+
chr1,7396971,7397022,+
chr1,7397112,7397172,+
chr1,7397302,7397329,+
chr1,7397353,7397370,+
chr1,7397493,7397557,+
chr1,7397562,7397583,+
chr1,9747758,9747773,+
chr1,9847013,9847069,+
chr1,9849631,9849650,+
chr1,10038294,10038308,+
chr1,13267235,13267251,+
chr1,13288768,13288788,+
chr1,13293538,13293554,+
chr1,13295451,13295506,+
chr1,13311880,13311894,+
chr1,13311919,13311933,+
chr1,13312428,13312471,+
chr1,13395026,13395102,+
chr1,13590427,13590453,+
chr1,13593941,13593955,+
chr1,16217744,16217806,+
chr1,16227775,16227816,+
chr1,16688353,16688385,+
chr1,20825017,20825033,+
chr1,20825337,20825356,+
chr1,20825643,20825657,+
chr1,20913019,20913034,+
chr1,20943120,20943139,+
chr1,20943295,20943358,+
chr1,20969228,20969244,+
chr1,20969351,20969372,+
chr1,20969563,20969578,+
chr1,20969619,20969635,+
chr1,20969735,20969762,+
chr1,20969788,20969807,+
chr1,20969813,20969860,+
chr1,21029501,21029532,+
chr1,21029590,21029612,+
chr1,21140102,21140202,+
chr1,21140486,21140511,+
chr1,21333507,21333526,+
chr1,21333955,21333996,+
chr1,21480042,21480126,+
chr1,21963616,21963632,+
chr1,23272430,23272455,+
chr1,23882861,23882880,+
chr1,24678019,24678038,+
chr1,24678242,24678271,+
chr1,30872826,30872847,+
chr1,30874322,30874360,+
chr1,30920778,30920824,+
chr1,30920889,30920923,+
chr1,30948672,30948687,+
chr1,30948924,30948948,+
chr1,33883646,33883677,+
chr1,34433709,34433739,+
chr1,34434205,34434254,+
chr1,34434291,34434321,+
chr1,34434629,34434643,+
chr1,34434792,34434806,+
chr1,34831740,34831764,+
chr1,34835501,34835528,+
chr1,35653907,35653933,+
chr1,35653952,35654008,+
chr1,35654025,35654042,+
chr1,35654045,35654064,+
chr1,35708963,35709018,+
chr1,35983428,35983447,+
chr1,36148794,36148813,+
chr1,36148829,36148843,+
chr1,36148895,36148909,+
