,chr,TnG_start,TnG_end,strand
0,chr1,3241813,3241839,-
1,chr1,3768338,3768358,-
2,chr1,4084282,4084297,-
3,chr1,4084304,4084331,-
4,chr1,4949358,4949384,+
5,chr1,6149890,6149919,-
6,chr1,6214190,6214205,-
7,chr1,6417733,6417756,+
8,chr1,6417776,6417799,+
9,chr1,6418005,6418020,+
10,chr1,7088362,7088401,+
11,chr1,7088744,7088761,+
12,chr1,7089452,7089467,+
13,chr1,7396963,7397023,+
14,chr1,7397112,7397173,+
15,chr1,7397300,7397330,+
16,chr1,7397353,7397371,+
17,chr1,7397491,7397599,+
18,chr1,9700943,9700966,-
19,chr1,9798859,9798902,+
20,chr1,10038294,10038309,+
21,chr1,10038433,10038460,-
22,chr1,10109658,10109675,-
23,chr1,10191728,10191800,.
24,chr1,11072785,11072825,-
25,chr1,12644861,12644877,+
26,chr1,12644921,12644942,-
27,chr1,13267235,13267252,+
28,chr1,13371878,13371920,.
29,chr1,13374043,13374060,-
30,chr1,13374870,13374897,-
31,chr1,13383557,13383572,-
32,chr1,13427319,13427334,-
33,chr1,13593430,13593453,-
34,chr1,13593941,13593956,+
35,chr1,15493388,15493411,-
36,chr1,15806118,15806140,-
37,chr1,15951231,15951251,-
38,chr1,16029356,16029386,+
39,chr1,16029459,16029505,.
40,chr1,16619569,16619584,-
41,chr1,16665683,16665709,-
42,chr1,16688312,16688332,-
43,chr1,16688353,16688386,+
44,chr1,16689091,16689107,-
45,chr1,17955407,17955433,+
46,chr1,20526539,20526576,+
47,chr1,20819844,20819864,+
48,chr1,20820527,20820565,-
49,chr1,21304742,21304757,-
50,chr1,21333479,21333502,+
51,chr1,21333507,21333527,+
52,chr1,21333953,21333997,+
53,chr1,21334126,21334155,+
54,chr1,21963139,21963180,-
55,chr1,21963616,21963633,+
56,chr1,23694123,23694143,+
57,chr1,23694155,23694182,+
58,chr1,23694192,23694220,+
59,chr1,23915372,23915388,+
60,chr1,23915756,23915779,+
61,chr1,23916081,23916108,+
62,chr1,24678019,24678042,+
63,chr1,24678044,24678061,-
64,chr1,24678241,24678273,+
65,chr1,24679134,24679159,-
66,chr1,24679392,24679412,-
67,chr1,25523852,25523872,-
68,chr1,26535156,26535171,+
69,chr1,29746319,29746334,-
70,chr1,30162344,30162382,-
71,chr1,30872826,30872853,+
72,chr1,30948672,30948688,+
73,chr1,30948924,30948954,+
74,chr1,30950245,30950261,-
75,chr1,30950447,30950483,-
76,chr1,31386161,31386187,+
77,chr1,31386243,31386266,+
78,chr1,31386315,31386337,+
79,chr1,33229305,33229321,-
80,chr1,33669901,33669943,-
81,chr1,33670085,33670120,-
82,chr1,33883168,33883188,-
83,chr1,33883646,33883678,+
84,chr1,33883738,33883754,-
85,chr1,33883970,33884000,-
86,chr1,34005496,34005527,-
87,chr1,34006014,34006052,-
88,chr1,34010845,34010860,-
89,chr1,34434203,34434255,+
90,chr1,34434285,34434322,+
91,chr1,34434424,34434441,-
92,chr1,34434629,34434644,+
93,chr1,34434792,34434807,+
94,chr1,34510906,34510933,-
95,chr1,34545766,34545782,-
96,chr1,34545974,34545990,+
97,chr1,34546201,34546216,+
98,chr1,34546285,34546301,-
99,chr1,34842365,34842394,-
100,chr1,34843219,34843240,-
101,chr1,34843331,34843346,-
102,chr1,34843812,34843827,-
103,chr1,34896593,34896618,-
104,chr1,34896631,34896651,-
105,chr1,34896935,34896950,-
106,chr1,34897294,34897317,-
107,chr1,34897321,34897344,+
108,chr1,35580290,35580310,+
109,chr1,35653180,35653200,-
110,chr1,35653346,35653369,+
111,chr1,36068059,36068082,+
112,chr1,36264369,36264420,.
113,chr1,36266806,36266829,-
114,chr1,36266991,36267014,+
