chr,start,end,min_dist_to_HH
chr1,4768477,4768517,836314.0
chr1,6149890,6149918,267738.0
chr1,6169344,6169363,248293.0
chr1,7011805,7011824,594131.0
chr1,7088362,7088400,670688.0
chr1,7088744,7088760,671070.0
chr1,7390153,7390186,972479.0
chr1,7390205,7390298,972531.0
chr1,7390293,7390345,972619.0
chr1,7396998,7397021,979324.0
chr1,7397112,7397172,979438.0
chr1,7397300,7397329,979626.0
chr1,7397353,7397370,979679.0
chr1,7397491,7397600,979817.0
chr1,8466579,8466602,1332121.0
chr1,9402970,9402998,395725.0
chr1,9403119,9403150,395573.0
chr1,9403156,9403182,395541.0
chr1,9700943,9700965,97758.0
chr1,10037691,10037725,61364.0
chr1,10038294,10038308,61967.0
chr1,10038433,10038459,62106.0
chr1,10191728,10191768,44764.0
chr1,10191763,10191799,44799.0
chr1,10257827,10257860,110863.0
chr1,10257865,10257887,110901.0
chr1,10423981,10423996,277017.0
chr1,10424145,10424159,277181.0
chr1,12875433,12875455,589431.0
chr1,13311822,13311844,153042.0
chr1,13311880,13311902,152984.0
chr1,13311913,13311935,152951.0
chr1,13374043,13374059,90827.0
chr1,13374870,13374896,89990.0
chr1,13383557,13383571,81315.0
chr1,13383779,13383801,81085.0
chr1,13427319,13427333,37553.0
chr1,15493388,15493410,491760.0
chr1,15806118,15806139,179031.0
chr1,16619569,16619583,5856.0
chr1,16629848,16629870,16135.0
chr1,16665683,16665708,51970.0
chr1,16688312,16688331,74599.0
chr1,16688353,16688385,74640.0
chr1,17289726,17289745,676013.0
chr1,17957042,17957061,1343329.0
chr1,20820527,20820553,685005.0
chr1,20825336,20825358,689814.0
chr1,20933520,20933534,797998.0
chr1,20933576,20933590,798054.0
chr1,20939164,20939183,803642.0
chr1,20939185,20939205,803663.0
chr1,20939296,20939310,803774.0
chr1,21052502,21052526,916980.0
chr1,21304742,21304756,1122866.0
chr1,21309182,21309204,1118418.0
chr1,21333479,21333501,1094121.0
chr1,21333507,21333526,1094096.0
chr1,21333953,21333996,1093626.0
chr1,21334125,21334154,1093468.0
chr1,21963616,21963632,463990.0
chr1,22081233,22081255,346367.0
chr1,22081307,22081328,346294.0
chr1,23915756,23915778,1262240.0
chr1,23916081,23916107,1262565.0
chr1,23924258,23924284,1270742.0
chr1,24678241,24678272,2024725.0
chr1,24679134,24679158,2025618.0
chr1,24838093,24838108,2127813.0
chr1,30162344,30162381,537506.0
chr1,30920778,30920829,220872.0
chr1,30920889,30920924,220983.0
chr1,30921013,30921035,221107.0
chr1,30921386,30921405,221480.0
chr1,30921479,30921501,221573.0
chr1,30950245,30950260,250339.0
chr1,30950445,30950482,250539.0
chr1,31794104,31794120,531240.0
chr1,33669901,33669942,213240.0
chr1,33670085,33670120,213062.0
chr1,33684535,33684561,198621.0
chr1,33684703,33684722,198460.0
chr1,33684724,33684780,198402.0
chr1,33814709,33814731,68451.0
chr1,34005496,34005526,122296.0
chr1,34006614,34006630,123414.0
chr1,34029096,34029113,145896.0
chr1,34434203,34434254,111524.0
chr1,34434285,34434322,111456.0
chr1,34434424,34434440,111338.0
chr1,34434792,34434806,110972.0
chr1,34462777,34462799,82979.0
chr1,34510906,34510932,34846.0
chr1,34843219,34843239,297423.0
chr1,34843331,34843345,297535.0
chr1,34843812,34843826,298016.0
chr1,34867267,34867281,321471.0
chr1,34896935,34896949,351139.0
chr1,35653346,35653368,614360.0
chr1,36068059,36068081,199647.0
chr1,36264369,36264401,3327.0
chr1,36264397,36264419,3309.0
chr1,36309748,36309787,36056.0
chr1,36470863,36470887,197171.0
chr1,36511515,36511547,197391.0
chr1,36737351,36737367,28395.0
chr1,36737561,36737580,28605.0
chr1,36797749,36797771,88793.0
chr1,36884016,36884041,175060.0
chr1,36922259,36922288,213303.0
chr1,36922404,36922436,213448.0
chr1,36960712,36960726,251756.0
chr1,37002410,37002436,244482.0
chr1,37028963,37028987,217931.0
chr1,37030768,37030807,216111.0
chr1,37232824,37232846,14072.0
chr1,37233022,37233044,13874.0
chr1,37233124,37233146,13772.0
chr1,37299474,37299509,52538.0
chr1,37481466,37481492,62044.0
chr1,37496194,37496213,76772.0
chr1,37496738,37496774,77316.0
chr1,37530188,37530218,110766.0
chr1,37544481,37544503,125059.0
chr1,37872267,37872286,452845.0
chr1,37872524,37872538,453102.0
chr1,37890631,37890653,471209.0
chr1,38130354,38130397,710932.0
chr1,38130414,38130444,710992.0
chr1,38657777,38657805,1056494.0
chr1,38657873,38657887,1056412.0
chr1,38664869,38664888,1049411.0
chr1,38723674,38723702,990597.0
chr1,38898297,38898327,815972.0
chr1,38898330,38898345,815954.0
chr1,38898349,38898365,815934.0
chr1,39196758,39196779,517520.0
chr1,39234840,39234860,479439.0
chr1,39281434,39281462,432837.0
chr1,39559129,39559155,155144.0
chr1,39577697,39577744,136555.0
chr1,39842894,39842960,128576.0
chr1,39918248,39918267,203930.0
chr1,39936342,39936368,222024.0
chr1,39936793,39936807,222475.0
chr1,39936826,39936869,222508.0
chr1,39936926,39936948,222608.0
chr1,39944681,39944707,230363.0
chr1,39983431,39983450,269113.0
chr1,39983451,39983467,269133.0
chr1,39983572,39983586,269254.0
chr1,39983600,39983623,269282.0
chr1,40056092,40056106,341774.0
chr1,40324455,40324469,293657.0
chr1,40324874,40324901,293225.0
chr1,40324908,40324928,293198.0
chr1,40325024,40325040,293086.0
chr1,40325079,40325113,293013.0
chr1,40382924,40382950,235176.0
chr1,40382990,40383037,235089.0
chr1,40399586,40399600,218526.0
chr1,40399615,40399655,218471.0
chr1,40399668,40399690,218436.0
chr1,40470000,40470019,148107.0
chr1,40473940,40473955,144171.0
chr1,40475885,40475907,142219.0
chr1,40479634,40479653,138473.0
chr1,40515477,40515491,102635.0
chr1,42640030,42640084,211190.0
chr1,43457114,43457133,53614.0
chr1,43457188,43457210,53688.0
chr1,43465008,43465022,61508.0
chr1,43467993,43468013,64493.0
chr1,43472573,43472592,69073.0
chr1,43472684,43472703,69184.0
chr1,43501422,43501451,97922.0
chr1,43519846,43519870,116346.0
chr1,43520005,43520027,116505.0
chr1,43520338,43520360,116838.0
chr1,43535084,43535106,131584.0
chr1,43542318,43542352,138818.0
chr1,43562382,43562398,158882.0
chr1,43826893,43826935,423393.0
chr1,43880558,43880594,477058.0
chr1,43939263,43939283,535763.0
chr1,43939432,43939447,535932.0
chr1,43939517,43939533,536017.0
chr1,44808812,44808846,1405312.0
chr1,44808868,44808890,1405368.0
chr1,45817005,45817019,2413505.0
chr1,45817151,45817187,2413651.0
chr1,46894764,46894793,3491264.0
chr1,46939351,46939380,3535851.0
chr1,46939537,46939597,3536037.0
chr1,48497366,48497381,2864148.0
chr1,48591161,48591175,2770354.0
chr1,48591312,48591344,2770185.0
chr1,48817389,48817403,2544126.0
chr1,48817472,48817497,2544032.0
chr1,48825599,48825618,2535911.0
chr1,48825628,48825650,2535879.0
chr1,50126011,50126032,1235497.0
chr1,51478075,51478103,116528.0
chr1,51478122,51478172,116575.0
chr1,51578091,51578106,216544.0
chr1,51584544,51584606,222997.0
chr1,51584680,51584702,223133.0
chr1,51584958,51584980,223411.0
chr1,51585207,51585221,223660.0
chr1,51585601,51585616,224054.0
chr1,51593768,51593813,232221.0
chr1,51594012,51594035,232465.0
chr1,52011017,52011044,24402.0
chr1,52011120,52011136,24310.0
chr1,52011546,52011568,23878.0
chr1,52019685,52019711,15735.0
chr1,52019845,52019880,15566.0
chr1,52022431,52022459,12987.0
chr1,52040612,52040631,5148.0
