chr,TnG_start,TnG_end,peaks
chr1,4401780,4401798,[47]
chr1,4432779,4432798,[62]
chr1,4527520,4527538,[88]
chr1,5101085,5101103,[205]
chr1,6461642,6461660,[306]
chr1,7431500,7431518,[441]
chr1,7528734,7528752,[448]
chr1,8778623,8778641,[471]
chr1,9565118,9565136,[517]
chr1,9758486,9758505,[574]
chr1,9842025,9842043,[611]
chr1,9850619,9850638,[618]
chr1,9866723,9866741,[628]
chr1,9866742,9866761,[628]
chr1,10315186,10315204,[747]
chr1,11457607,11457625,[867]
chr1,11759136,11759154,[884]
chr1,12405990,12406008,[912]
chr1,13007176,13007195,[1012]
chr1,13012744,13012762,[1015]
chr1,13110640,13110658,[1032]
chr1,13142945,13142964,[1046]
chr1,13301792,13301811,[1138]
chr1,13498271,13498289,[1225]
chr1,13593378,13593397,[1256]
chr1,13608662,13608680,[1267]
chr1,14110586,14110604,[1380]
chr1,14612448,14612466,[1504]
chr1,14757815,14757834,[1550]
chr1,15637934,15637952,[1616]
chr1,15683866,15683884,[1625]
chr1,16177590,16177608,[1716]
chr1,16372590,16372608,[1767]
chr1,16546874,16546892,[1793]
chr1,16554638,16554656,[1798]
chr1,16637943,16637961,[1824]
chr1,17489442,17489460,[1931]
chr1,17980839,17980857,[1974]
chr1,19109788,19109806,[2003]
chr1,20686103,20686121,[2054]
chr1,20863631,20863650,[2098]
chr1,20908753,20908771,[2110]
chr1,20986216,20986234,[2142]
chr1,21317420,21317438,[2272]
chr1,21336075,21336093,[2286]
chr1,21483352,21483371,[2331]
chr1,21559439,21559457,[2344]
chr1,22105714,22105732,[2439]
chr1,22267869,22267888,[2443]
chr1,22271632,22271650,[2445]
chr1,23184889,23184908,[2487]
chr1,23268149,23268167,[2505]
chr1,23271901,23271919,[2508]
chr1,23841893,23841911,[2599]
chr1,23910673,23910691,[2629]
chr1,24055680,24055698,[2673]
chr1,24062420,24062438,[2675]
chr1,24681177,24681195,[2782]
chr1,30585087,30585106,[2893]
chr1,31134242,31134260,[3003]
chr1,31554165,31554183,[3031]
chr1,32746450,32746469,[3068]
chr1,32896411,32896429,[3076]
chr1,33391772,33391790,[3106]
chr1,33464876,33464894,[3115]
chr1,33564169,33564188,[3159]
chr1,33574469,33574487,[3164]
chr1,33578708,33578727,[3168]
chr1,33715043,33715062,[3224]
chr1,33883182,33883200,[3278]
