Gene,Gene_chr,Gene_start,Gene_end,Gene_dir,HH_dist,TnG_dist,Joris_aTreg_IAA_over_Joris_aTreg_WT_Log2FC,Joris_aTreg_IAA_over_Joris_aTreg_WT_padj
Slc15a2,chr16,36750176,36784962,-,652374,43837,-0.552261118,0.832490978
Ces2c,chr8,104847067,104854483,+,350233,266861,-0.017961297,0.990271822
Cdcp1,chr9,123170823,123216038,-,150896,24230,-0.755758878,0.588702729
Gm44931,chr7,80603238,80603783,-,-199172,-20246,0.008705041,0.995831675
Ighv6-6,chr12,114434787,114435244,-,555576,-55754,-0.183310626,1.0
Nlrp1a,chr11,71092235,71144704,-,-585866,58532,-0.143766315,1.0
Gm46519,chr15,75631968,75635910,-,273496,-195279,-0.202750799,0.829897797
Abat,chr16,8513428,8621568,+,-1400610,0,0.305241212,0.868860289
Ceacam15,chr7,16671330,16675705,-,6890,-52691,-0.298041072,0.708618994
Noxa1,chr2,25085666,25095149,-,439858,62079,-0.393574485,1.0
Gprc5a,chr6,135065650,135084709,+,-166995,-54228,-1.543447441,1.0
Slc24a3,chr2,145167753,145642166,+,-455544,0,-0.129490183,0.951557384
Igkv12-41,chr6,69858419,69858884,-,939533,-8154,-0.771068216,1.0
Fbxo36,chr1,84839840,84900487,+,839883,0,-0.218004543,1.0
Cebpa,chr7,35119292,35121928,+,110609,6233,-0.752917195,0.108624069
Msrb3,chr10,120781095,120899101,-,634790,0,-0.040850041,0.985710154
Tnxb,chr17,34660456,34719815,+,-70821,-56817,-0.383359546,1.0
Cfap126,chr1,171113917,171126967,+,253079,23758,-0.122278465,1.0
Ptafr,chr4,132564066,132582683,+,76598,3803,-2.757085948,1.0
A830012C17Rik,chr4,4138320,4188703,+,-148260,-155638,-1.108724518,1.0
Galr3,chr15,79041884,79043558,+,-358077,-2963,0.561286456,0.433576201
Cc2d2a,chr5,43662345,43740972,+,330699,0,-0.642414739,0.695232927
Nsun7,chr5,66259896,66298026,+,-402881,-59539,-0.126815184,0.947753422
Dusp18,chr11,3895239,3901296,+,345501,62206,-0.6745986,1.0
Gm15408,chr5,149006961,149012776,+,-505619,3102,1.708189851,1.0
Gm30881,chr16,93808539,93833019,-,-4570,-27738,-0.646036812,0.466086118
Igkv9-124,chr6,67942073,67942540,-,639254,220309,1.0,1.0
Gm42576,chr5,75020235,75023081,-,617842,21398,0.108849463,0.892338182
Gm8935,chr3,12855835,12858633,+,1947991,-336909,0.730922033,1.0
Amotl1,chr9,14541965,14645056,-,-297496,-41145,-0.383820462,0.713840389
Ighv2-3,chr12,113611186,113611617,-,-423500,-265478,-1.172436535,1.0
4930512H18Rik,chr8,61849005,61922834,+,-261183,5334,0.237857011,1.0
Arhgap24,chr5,102481390,102897937,+,621291,0,-0.603171321,1.0
Gm30948,chr12,115262683,115287908,+,-271846,-4744,0.068579555,1.0
Gm3248,chr14,5939224,5961745,-,851709,-21118,-0.798408509,1.0
Gm46447,chr14,32301923,32308895,+,-640008,-142466,0.51257299,1.0
Pnck,chrX,73655993,73660117,-,307236,-162140,0.065858169,1.0
Epb41l5,chr1,119545036,119649000,-,451450,187955,0.105239926,1.0
Pigz,chr16,31933850,31946046,+,116200,116430,0.779554775,0.346843896
Gm3940,chr1,52090634,52091066,-,-37801,9525,0.392773915,0.818122476
Gm3500,chr14,5365793,5389049,-,1424405,485671,-0.524512568,1.0
Rasip1,chr7,45627487,45639093,+,76362,5012,-0.391351533,0.747581674
Ighv4-1,chr12,113948281,113948796,-,-760595,-2464,0.117469675,1.0
Ighv1-61,chr12,115359139,115359572,-,-368302,-101200,0.117469675,1.0
4930466K18Rik,chr10,53614368,53615274,+,-18355,14055,0.586036643,0.566821204
Gm37536,chr1,43488446,43490937,+,-84947,10486,0.203502606,0.640419383
Tnnt2,chr1,135836353,135852260,+,-28640,-83006,-0.236995991,0.870685325
Gm44249,chr6,92144488,92146293,-,1059172,-12671,-0.062933402,0.923135203
Mmp9,chr2,164940779,164955850,+,-118049,-7231,-0.40895227,0.520025776
Ces2d-ps,chr8,104867487,104873861,+,330855,247483,0.372512815,0.677519399
Gm3373,chr14,5718335,5741577,-,1071877,133143,-0.621317791,1.0
Fam160a1,chr3,85660060,85817291,-,0,0,-0.486018207,0.463885807
Piwil2,chr14,70372476,70429383,-,-306812,-95593,-0.422150474,0.697144016
Gstt3,chr10,75774114,75781414,-,-33752,-8528,-0.21873799,0.863040025
Ccdc136,chr6,29396308,29426994,+,-666736,-164091,-0.459094124,0.772719256
Bicd1,chr6,149408885,149563329,+,-215157,-42125,-0.619217939,0.435126631
2010109A12Rik,chr5,93206517,93213475,+,-831514,-115,0.526599147,1.0
Slco2a1,chr9,102988711,103096002,+,2035652,12579,-0.254958907,0.897655826
Gm6093,chr13,33562485,33569317,-,526807,396257,1.005214912,1.0
Ighv1-74,chr12,115802647,115803080,-,581068,145450,0.189601875,1.0
Gm25405,chr7,104423273,104423380,+,-132172,22730,1.019373964,1.0
Ctnnd1,chr2,84600070,84650765,-,142976,9682,-0.6382134,0.646559873
Alas2,chrX,150547374,150570638,+,1678747,-88536,0.101897591,0.929034609
Lrrn4,chr2,132868304,132880891,-,512213,-122588,-0.335910779,1.0
Glt28d2,chr3,85869848,85887516,-,-172309,-172403,-0.522170048,1.0
Gm43138,chr5,110206579,110207287,+,631792,24342,0.402054886,1.0
Gm19040,chr6,114738533,114743259,+,105968,53189,-0.066184475,0.931434059
Gm6831,chr8,104755778,104764069,+,440647,-190542,-0.55452539,1.0
Gm49925,chr17,66005704,66006087,+,-76298,-43537,-0.252618802,0.807365716
6030468B19Rik,chr11,117797659,117807301,+,64324,21382,0.191388847,1.0
Gm17056,chr12,40198655,40201105,+,-159958,-108327,0.308619945,1.0
Gm27957,chr15,62175421,62175548,+,281868,-10489,0.553531532,0.619105353
Rhod,chr19,4425458,4439432,-,-280312,70647,-0.032362379,0.986681332
Ier5l,chr2,30471536,30474219,-,73423,-7046,-1.956633979,1.0
Gm16044,chr7,128692688,128693138,+,-59181,51509,0.060409321,0.981365363
Qrich2,chr11,116441324,116466241,-,-360293,-6720,0.074040206,1.0
Galnt14,chr17,73493227,73710453,-,104618,102791,-0.615032878,1.0
Mid2,chrX,140664598,140767715,+,183174,-143975,-0.29649296,1.0
Hgf,chr5,16553494,16620152,+,985457,-83175,-0.243114225,1.0
Mxra8,chr4,155839679,155844088,+,-8169,-36311,-1.520283893,1.0
Mill2,chr7,18839965,18865402,+,-894585,141193,-1.083284084,1.0
Col10a1,chr10,34389980,34397085,+,338805,-92660,-0.047857819,0.958412257
Meis1,chr11,18879816,19018985,-,1296977,-352208,0.978418612,1.0
Ly6g,chr15,75155239,75159126,+,750280,-37691,0.3525345,1.0
Gm10532,chr18,75514644,75522806,+,-94881,-67414,0.015411488,0.99315355
Aebp1,chr11,5861946,5872088,+,128868,-73683,-0.584045519,1.0
Gm49735,chr16,43694096,43710832,-,785040,0,-2.163607831,1.0
Gm44899,chr7,80980845,80993415,-,-2026,0,-0.172640063,0.910747661
Gm20274,chr7,122995347,122995931,+,88718,23813,-0.439004718,0.608517548
Ccdc87,chr19,4839365,4842528,+,-694219,158,-1.000201051,1.0
Nckap5,chr1,125913619,126830799,-,0,0,-0.375129591,0.649898874
Rnf152,chr1,105276913,105356710,-,-1377390,306710,0.150158045,0.943995662
Gnasas1,chr2,174281236,174295436,-,-213296,-203669,0.038684472,0.976985487
Gm17207,chr5,73210155,73212643,-,74083,2303,-0.365491965,0.509156656
Gm48420,chr13,95024300,95024900,+,302285,38208,-0.193675435,1.0
2610042L04Rik,chr14,4334762,4354688,+,2458766,1520032,-1.126398391,1.0
1700087I21Rik,chr14,103424904,103449867,+,-331149,19687,0.16483026,1.0
Slc2a13,chr15,91267695,91573261,-,91955,91798,1.491103368,1.0
Gm13938,chr2,76722775,76786708,+,-467917,-467854,-0.294310606,0.729915422
Rimkla,chr4,119465282,119492628,-,627617,47830,-0.57389481,0.717623235
Fbxo41,chr6,85469573,85502994,-,-310337,-310323,-1.386381008,0.204781048
A030001D20Rik,chr7,45635679,45638765,-,76690,5340,-0.119294868,1.0
Mir1938,chr12,40222711,40222811,-,-184014,-132383,-0.049253958,1.0
Gm9891,chr15,27856306,27857113,+,-130555,-27922,-0.11082056,1.0
Gm10369,chr5,134676489,134680145,+,435350,-93933,-0.248109792,1.0
Gm43154,chr6,31605189,31798053,+,-115180,-205064,0.097564861,1.0
Gm47586,chr13,63244220,63246248,+,-103139,3500,0.041261345,0.945829565
Fmod,chr1,134037253,134048277,+,15254,450,0.65698794,1.0
Gm26640,chr6,72953235,72957247,+,160978,0,0.312594812,0.867538797
Ighv14-1,chr12,113931952,113932382,-,-744266,13408,0.580940292,1.0
Myl10,chr5,136693145,136701094,+,992942,-69959,0.342484261,1.0
Siah3,chr14,75455981,75529708,+,0,0,-1.051977163,1.0
Gm43820,chr3,37644606,37647952,+,76213,-4471,-1.585461612,1.0
Rassf6,chr5,90603075,90640657,-,1056465,184518,-0.530876138,1.0
Gm22455,chr9,64177122,64177193,+,-303451,1971,-0.125502257,1.0
Amdhd1,chr10,93523337,93540033,-,-71139,201,-0.688472488,1.0
Dmtn,chr14,70601262,70636048,-,-535598,23567,0.353503392,0.873464885
