chr,TnG_start,TnG_end,strand,peaks
chr1,3120187,3120201,+,[2]
chr1,3399307,3399339,+,[5]
chr1,3416362,3416377,+,[7]
chr1,3600848,3600862,+,[16]
chr1,3840790,3840816,+,[29]
chr1,4419703,4419725,+,[56]
chr1,4438019,4438038,+,[64]
chr1,4469278,4469314,+,[69]
chr1,4478645,4478664,+,[73]
chr1,4491619,4491633,+,[77]
chr1,4496462,4496478,+,[82]
chr1,4641260,4641281,+,[111]
chr1,4748204,4748218,+,[125]
chr1,4768479,4768512,+,[131]
chr1,4834649,4834671,+,[150]
chr1,4926529,4926543,+,[175]
chr1,5019678,5019692,+,[189]
chr1,5022791,5022805,+,[194]
chr1,5076688,5076711,+,[200]
chr1,5082741,5082755,+,[201]
chr1,5101024,5101049,+,[205]
chr1,5128940,5128954,+,[208]
chr1,5138724,5138752,+,[210]
chr1,5904933,5904962,+,[222]
chr1,6053831,6053847,+,[230]
chr1,6144158,6144192,+,[235]
chr1,6190653,6190680,+,[238]
chr1,6249653,6249674,+,[255]
chr1,6261028,6261047,+,[257]
chr1,6262872,6262886,+,[259]
chr1,6282514,6282530,+,[264]
chr1,6283241,6283260,+,[265]
chr1,6291409,6291423,+,[267]
chr1,6291436,6291450,+,[267]
chr1,6373081,6373100,+,[275]
chr1,6401645,6401659,+,[283]
chr1,6401714,6401733,+,[283]
chr1,6446889,6446903,+,[296]
chr1,6455927,6455943,+,[304]
chr1,6498996,6499026,+,[324]
chr1,6607620,6607665,+,[327]
chr1,6624774,6624788,+,[329]
chr1,6760429,6760444,+,[334]
chr1,6774940,6774954,+,[336]
chr1,6976529,6976545,+,[355]
chr1,6979342,6979356,+,[356]
chr1,6997914,6997928,+,[360]
chr1,7088744,7088760,+,[374]
chr1,7139846,7139867,+,[400]
chr1,7143588,7143602,+,[403]
chr1,7146849,7146871,+,[404]
chr1,7147254,7147270,+,[405]
chr1,7360808,7360827,+,[425]
chr1,7397304,7397329,+,[431]
chr1,7397354,7397370,+,[431]
chr1,7397494,7397542,+,[431]
chr1,7397562,7397577,+,[432]
chr1,7412815,7412835,+,[435]
chr1,7431552,7431598,+,[441]
chr1,7562734,7562749,+,[452]
chr1,7763201,7763216,+,[457]
chr1,7769817,7769833,+,[458]
chr1,7873554,7873569,+,[461]
chr1,8490237,8490256,+,[468]
chr1,8721016,8721055,+,[470]
chr1,9101063,9101092,+,[488]
chr1,9149142,9149161,+,[490]
chr1,9248484,9248498,+,[497]
chr1,9254299,9254314,+,[500]
chr1,9257153,9257167,+,[501]
chr1,9596424,9596447,+,[528]
chr1,9615285,9615304,+,[533]
chr1,9621735,9621749,+,[536]
chr1,9628993,9629007,+,[539]
chr1,9630018,9630032,+,[541]
chr1,9652787,9652802,+,[549]
chr1,9707848,9707864,+,[561]
chr1,9731631,9731646,+,[567]
chr1,9744942,9744956,+,[568]
chr1,9744969,9744983,+,[568]
chr1,9745102,9745116,+,[568]
chr1,9747758,9747773,+,[569]
chr1,9787986,9788005,+,[581]
chr1,9792021,9792040,+,[582]
chr1,9797610,9797626,+,[585]
chr1,9800596,9800614,+,[591]
chr1,9840660,9840674,+,[610]
chr1,9847023,9847069,+,[613]
chr1,9850777,9850791,+,[618]
chr1,9855713,9855737,+,[621]
chr1,9877390,9877405,+,[632]
chr1,9881659,9881673,+,[635]
chr1,9892691,9892706,+,[641]
chr1,9906001,9906025,+,[644]
chr1,10038294,10038308,+,[677]
chr1,10105538,10105553,+,[692]
chr1,10211603,10211639,+,[705]
chr1,10226950,10226974,+,[712]
chr1,10229303,10229317,+,[713]
chr1,10252259,10252278,+,[721]
chr1,10254420,10254441,+,[722]
chr1,10280396,10280415,+,[738]
chr1,10285137,10285156,+,[741]
chr1,10347621,10347636,+,[757]
chr1,10771597,10771616,+,[781]
chr1,10835764,10835778,+,[783]
chr1,10847056,10847070,+,[786]
chr1,10847082,10847096,+,[786]
chr1,10877463,10877482,+,[790]
chr1,10919246,10919261,+,[795]
chr1,10952594,10952610,+,[803]
chr1,10952770,10952786,+,[803]
chr1,10960203,10960223,+,[804]
chr1,10965914,10965930,+,[805]
chr1,10993240,10993260,+,[808]
chr1,11080705,11080721,+,[828]
chr1,11099848,11099887,+,[833]
chr1,11151788,11151810,+,[842]
chr1,11210889,11210905,+,[845]
chr1,11562606,11562633,+,[872]
chr1,11587012,11587028,+,[877]
chr1,11759708,11759727,+,[885]
chr1,12326760,12326785,+,[907]
chr1,12326803,12326827,+,[907]
chr1,12488111,12488126,+,[916]
chr1,12508068,12508084,+,[918]
chr1,12711230,12711254,+,[930]
chr1,12727508,12727522,+,[935]
chr1,12729414,12729443,+,[936]
chr1,12754742,12754756,+,[942]
chr1,12765677,12765696,+,[949]
chr1,12832891,12832910,+,[958]
chr1,12859010,12859024,+,[974]
chr1,12875803,12875817,+,[980]
chr1,12977659,12977673,+,[995]
chr1,13050450,13050478,+,[1022]
chr1,13126956,13127006,+,[1038]
chr1,13136114,13136129,+,[1044]
chr1,13207196,13207212,+,[1081]
chr1,13237927,13237942,+,[1102]
chr1,13267235,13267251,+,[1118]
chr1,13268304,13268319,+,[1120]
chr1,13276479,13276508,+,[1122]
chr1,13314502,13314516,+,[1149]
chr1,13321598,13321616,+,[1154]
chr1,13321699,13321713,+,[1154]
chr1,13322743,13322763,+,[1155]
chr1,13360193,13360209,+,[1176]
chr1,13360499,13360521,+,[1177]
chr1,13366816,13366832,+,[1185]
chr1,13431259,13431273,+,[1212]
chr1,13454376,13454407,+,[1215]
chr1,13462815,13462829,+,[1219]
chr1,13498281,13498296,+,[1225]
chr1,13498369,13498384,+,[1225]
chr1,13590433,13590470,+,[1255]
chr1,13601861,13601914,+,[1265]
chr1,13651622,13651637,+,[1283]
chr1,13752686,13752701,+,[1301]
chr1,13905166,13905188,+,[1338]
chr1,13927301,13927325,+,[1341]
chr1,13978775,13978791,+,[1346]
chr1,14105637,14105653,+,[1377]
chr1,14121621,14121635,+,[1381]
chr1,14190512,14190526,+,[1409]
chr1,14268908,14268932,+,[1440]
chr1,14272228,14272244,+,[1441]
chr1,14297255,14297278,+,[1450]
chr1,14331761,14331783,+,[1461]
chr1,14332489,14332503,+,[1462]
chr1,14332592,14332613,+,[1462]
chr1,14465036,14465052,+,[1473]
chr1,14496191,14496213,+,[1481]
chr1,14518288,14518307,+,[1490]
