chr,h_h_start,h_h_end,closest_TnG_start,closest_TnG_end,tng_alignment,distance_to_closest_TnG
chr1,4401780,4401798,4405251,4405267,0,3453
chr1,4432779,4432798,4430552,4430569,1,-2210
chr1,4527520,4527538,4554785,4554801,0,27247
chr1,5101085,5101103,5101024,5101050,0,-35
chr1,6461642,6461660,6455927,6455944,0,-5698
chr1,7431500,7431518,7431552,7431599,1,34
chr1,7528734,7528752,7548451,7548466,0,19699
chr1,8778623,8778641,8721016,8721056,0,-57567
chr1,9565118,9565136,9565106,9565125,1,0
chr1,9758486,9758505,9755310,9755335,1,-3151
chr1,9866723,9866741,9877390,9877406,1,10649
chr1,9866742,9866761,9877390,9877406,1,10629
chr1,10315186,10315204,10314900,10314917,1,-269
chr1,11457607,11457625,11562606,11562634,1,104981
chr1,11759136,11759154,11759708,11759728,1,554
chr1,12405990,12406008,12398461,12398476,1,-7514
chr1,13007176,13007195,12977659,12977674,0,-29502
chr1,13012744,13012762,12977659,12977674,0,-35070
chr1,13110640,13110658,13104169,13104185,1,-6455
chr1,13142945,13142964,13142936,13142951,1,0
chr1,13301792,13301811,13314502,13314517,1,12691
chr1,13498271,13498289,13498281,13498297,1,0
chr1,13608662,13608680,13601861,13601915,0,-6747
chr1,14612448,14612466,14646189,14646204,0,33723
chr1,14757815,14757834,14754747,14754767,1,-3048
chr1,15637934,15637952,15637415,15637444,0,-490
chr1,15683866,15683884,15683857,15683872,1,0
chr1,16372590,16372608,16371554,16371570,0,-1020
chr1,16546874,16546892,16546863,16546883,1,0
chr1,16554638,16554656,16550804,16550825,0,-3813
chr1,16637943,16637961,16637683,16637698,0,-245
chr1,17489442,17489460,17489455,17489472,1,0
chr1,17980839,17980857,17904692,17904718,1,-76121
chr1,19109788,19109806,19179315,19179332,1,69509
chr1,20686103,20686121,20673627,20673643,0,-12460
chr1,20863631,20863650,20863766,20863785,1,116
chr1,20986216,20986234,20985461,20985481,0,-735
chr1,21483352,21483371,21461320,21461355,1,-21997
chr1,21559439,21559457,21559886,21559907,1,429
chr1,22105714,22105732,22099716,22099736,0,-5978
chr1,22267869,22267888,22267959,22267975,0,71
chr1,22271632,22271650,22271789,22271804,0,139
chr1,23184889,23184908,23188216,23188233,0,3308
chr1,23268149,23268167,23271561,23271578,0,3394
chr1,23271901,23271919,23271866,23271883,1,-18
chr1,23841893,23841911,23843891,23843906,0,1980
chr1,24055680,24055698,24059692,24059712,0,3994
chr1,24062420,24062438,24059692,24059712,1,-2708
chr1,30585087,30585106,30583962,30583978,0,-1109
chr1,31134242,31134260,31127111,31127127,1,-7115
chr1,31554165,31554183,31554198,31554223,1,15
