chr,start,end,group
chr1,138695957,138696157,61
chr1,194996029,194996229,11
chr1,167245460,167245660,7
chr1,131489056,131489256,11
chr1,130549561,130549761,1
chr1,130549542,130549742,11
chr1,130549562,130549762,12
chr1,22081137,22081337,4
chr1,4768392,4768592,11
chr1,152254109,152254309,56
chr1,152254109,152254309,59
chr1,55423861,55424061,2
chr1,55423757,55423957,13
chr1,55423789,55423989,21
chr1,55423790,55423990,32
chr1,55423760,55423960,33
chr1,55423778,55423978,33
chr1,151287563,151287763,11
chr1,88553597,88553797,77
chr1,88553597,88553797,87
chr1,74195946,74196146,1
chr1,74195947,74196147,12
chr1,161999926,162000126,31
chr1,7390140,7390340,1
chr1,7390130,7390330,2
chr1,7390141,7390341,12
chr1,7390154,7390354,21
chr1,7390155,7390355,32
chr1,133545184,133545384,2
chr1,11888837,11889037,54
chr1,191480555,191480755,93
chr1,6169184,6169384,46
chr1,98285266,98285466,4
chr1,30699797,30699997,67
chr1,30699797,30699997,70
chr1,30699796,30699996,78
chr1,30699796,30699996,79
chr1,30699796,30699996,88
chr1,30699796,30699996,89
chr1,30699797,30699997,97
chr1,30699797,30699997,100
chr1,165986197,165986397,87
chr1,43538867,43539067,36
chr1,134048637,134048837,2
chr1,52802542,52802742,87
chr1,77831976,77832176,13
chr1,69666918,69667118,16
chr1,184852415,184852615,11
chr1,162549827,162550027,11
chr1,161907961,161908161,36
chr1,161907961,161908161,39
chr1,153309026,153309226,26
chr1,153309027,153309227,40
chr1,58965337,58965537,33
chr1,186735019,186735219,68
chr1,186735019,186735219,98
chr1,48817297,48817497,1
chr1,48817458,48817658,4
chr1,48817298,48817498,12
chr1,160046926,160047126,31
chr1,106560979,106561179,68
chr1,106560979,106561179,69
chr1,106560979,106561179,98
chr1,106560979,106561179,99
chr1,165810674,165810874,62
chr1,165810673,165810873,71
chr1,165810673,165810873,81
chr1,138125381,138125581,29
chr1,138125382,138125582,37
chr1,86000437,86000637,63
chr1,152037393,152037593,24
chr1,20933671,20933871,99
chr1,193839154,193839354,2
chr1,52751650,52751850,1
chr1,52751651,52751851,12
chr1,13383742,13383942,19
chr1,154900679,154900879,54
chr1,177338325,177338525,9
chr1,177338326,177338526,17
chr1,66838479,66838679,2
chr1,66838474,66838674,11
chr1,160042594,160042794,26
chr1,160042595,160042795,40
chr1,153379959,153380159,57
chr1,65010366,65010566,1
chr1,65010355,65010555,11
chr1,65010367,65010567,12
chr1,65010378,65010578,13
chr1,65010381,65010581,33
chr1,65010399,65010599,33
chr1,78017094,78017294,31
