chr,TnG_start,TnG_end,peaks
chr1,3932145,3932163,[638]
chr1,6417656,6417674,[1686]
chr1,9798723,9798741,[884]
chr1,9976309,9976327,[219]
chr1,10146946,10146964,[320]
chr1,11022282,11022300,[822]
chr1,13464886,13464904,[491]
chr1,13593378,13593397,[1457]
chr1,13667837,13667855,[302]
chr1,15985170,15985188,[899]
chr1,16029470,16029488,[1309]
chr1,16177590,16177608,[1147]
chr1,16613695,16613713,[828]
chr1,20135504,20135522,[308]
chr1,22427622,22427640,[75]
chr1,22653498,22653516,[744]
chr1,26965921,26965939,[1010]
chr1,26965973,26965991,[1010]
chr1,30699887,30699906,[272]
chr1,31262843,31262864,[803]
chr1,33453740,33453758,[1053]
chr1,33453824,33453842,[1053]
chr1,33883182,33883200,[1738]
chr1,34545778,34545796,[1556]
chr1,36267728,36267746,[319]
chr1,36273674,36273692,[737]
chr1,36708938,36708956,[862]
chr1,37246918,37246936,[555]
chr1,37419404,37419422,[1055]
chr1,39714299,39714318,[1497]
chr1,40618126,40618144,[1436]
chr1,42300254,42300272,[767]
chr1,42851274,42851292,[1339]
chr1,43403482,43403500,[624]
chr1,51361529,51361547,[1078]
chr1,52035446,52035464,[1635]
chr1,52052645,52052663,[1167]
chr1,52052816,52052834,[1167]
chr1,52245471,52245489,[76]
chr1,52303059,52303077,[396]
chr1,52375507,52375526,[1815]
chr1,53350214,53350232,[148]
chr1,53791619,53791637,[974]
chr1,54251309,54251327,[1248]
chr1,54860705,54860723,[818]
chr1,54871469,54871488,[1171]
chr1,56236919,56236937,[1187]
chr1,57208617,57208635,[1141]
chr1,58975290,58975309,[179]
chr1,60087647,60087665,[1548]
chr1,60755642,60755660,[1585]
chr1,60758524,60758542,[1282]
chr1,60825416,60825434,[1321]
chr1,61016226,61016245,[528]
chr1,61107460,61107478,[1092]
chr1,61434648,61434666,[1789]
chr1,61434944,61434962,[1789]
chr1,63176923,63176941,[1600]
chr1,63423555,63423573,[358]
chr1,64266337,64266355,[1012]
chr1,64709594,64709612,[846]
chr1,69119700,69119718,[419]
chr1,69420191,69420209,[228]
chr1,70134495,70134513,[685]
chr1,70414056,70414074,[778]
chr1,70893067,70893085,[678]
chr1,72254870,72254888,[1823]
chr1,73928913,73928931,[259]
chr1,74617141,74617159,[409]
chr1,74758837,74758855,[303]
chr1,75142249,75142268,[1749]
chr1,75477272,75477291,[876]
chr1,77831945,77831963,[299]
chr1,77855309,77855344,[599]
chr1,78017177,78017195,[687]
chr1,81212518,81212536,[985]
chr1,82764666,82764684,[608]
chr1,82803849,82803867,[590]
chr1,82833554,82833572,[1168]
chr1,82900896,82900914,[1287]
chr1,85740369,85740387,[1397]
chr1,86153406,86153424,[383]
chr1,87632854,87632872,[665]
chr1,88553688,88553706,[177]
chr1,88587627,88587646,[1425]
chr1,93344186,93344204,[1684]
chr1,95590367,95590386,[226]
chr1,95605429,95605447,[797]
chr1,95605481,95605499,[797]
chr1,103899506,103899524,[1712]
chr1,106757808,106757826,[964]
chr1,108209278,108209296,[841]
chr1,111864074,111864092,[811]
chr1,118311344,118311362,[1537]
chr1,118311443,118311461,[1537]
chr1,118390947,118390965,[388]
chr1,118641723,118641741,[912]
chr1,120100449,120100470,[802]
chr1,122837252,122837270,[452]
chr1,125399050,125399069,[989]
chr1,126781037,126781055,[621]
chr1,127363896,127363914,[1183]
chr1,128077457,128077476,[341]
chr1,128611837,128611855,[1392]
chr1,128611888,128611907,[1392]
chr1,131154501,131154519,[536]
chr1,131379850,131379868,[416]
chr1,131489139,131489157,[133]
chr1,132010923,132010941,[1159]
chr1,134063530,134063549,[1632]
chr1,134473316,134473334,[73]
chr1,134560035,134560053,[1097]
chr1,135670212,135670230,[1511]
chr1,135807696,135807714,[1052]
chr1,136609010,136609028,[1706]
chr1,138125462,138125480,[507]
chr1,138144948,138144967,[1152]
chr1,138145126,138145145,[1152]
chr1,138166736,138166755,[1410]
chr1,138542766,138542784,[950]
chr1,138700604,138700622,[771]
chr1,144267620,144267638,[407]
chr1,144272990,144273008,[1613]
chr1,144306632,144306651,[1852]
chr1,144306728,144306746,[1852]
chr1,144500081,144500099,[1452]
chr1,145413860,145413878,[676]
chr1,146595569,146595587,[779]
chr1,147489669,147489687,[1179]
chr1,147928963,147928981,[313]
chr1,150465511,150465529,[959]
chr1,151457199,151457217,[881]
chr1,151615441,151615459,[206]
chr1,152289465,152289483,[847]
chr1,152766351,152766369,[1329]
chr1,153413764,153413782,[1841]
chr1,153614398,153614416,[1100]
chr1,155159311,155159329,[1698]
chr1,155159537,155159555,[1698]
chr1,155172987,155173005,[1808]
chr1,155173128,155173146,[1808]
chr1,155173337,155173355,[1808]
chr1,155173383,155173401,[1808]
chr1,155530825,155530844,[1122]
chr1,155914620,155914638,[1257]
chr1,156263620,156263638,[180]
chr1,156848121,156848139,[693]
chr1,157077233,157077251,[1030]
chr1,157990627,157990645,[314]
chr1,160058268,160058286,[144]
chr1,160307000,160307019,[1674]
chr1,160397441,160397459,[907]
chr1,160926454,160926472,[849]
chr1,161767112,161767130,[1855]
chr1,161894290,161894308,[386]
chr1,161903287,161903306,[851]
chr1,161975375,161975393,[227]
chr1,162207278,162207296,[1569]
chr1,165193541,165193560,[992]
chr1,165643490,165643508,[1525]
chr1,165986288,165986306,[273]
chr1,166410014,166410032,[1588]
chr1,168891258,168891276,[520]
chr1,170215494,170215512,[1493]
chr1,171380045,171380063,[431]
chr1,171412777,171412795,[360]
chr1,173398823,173398841,[1799]
chr1,173657472,173657490,[1273]
chr1,173680824,173680842,[426]
chr1,176986304,176986322,[1420]
chr1,177338240,177338258,[625]
chr1,180304813,180304831,[690]
chr1,181240704,181240722,[85]
chr1,183180149,183180171,[1574]
chr1,183238065,183238083,[978]
chr1,184061807,184061825,[13]
chr1,184074698,184074716,[1625]
chr1,184074838,184074856,[1625]
chr1,184845323,184845341,[1772]
chr1,186193512,186193530,[1083]
chr1,186562569,186562587,[1460]
chr1,186693405,186693423,[33]
chr1,186735110,186735128,[476]
chr1,188027545,188027563,[263]
chr1,191409780,191409798,[706]
chr1,191988758,191988776,[1047]
chr1,193193968,193193986,[1643]
chr1,193421379,193421397,[658]
chr1,193839234,193839252,[564]
chr1,194728179,194728197,[734]
chr10,3699104,3699123,[13971]
chr10,4206713,4206731,[14637]
chr10,4532644,4532662,[14075]
chr10,5194699,5194717,[15252]
chr10,5979424,5979442,[14417]
chr10,6980583,6980601,[14469]
chr10,7595079,7595097,[14464]
chr10,7600691,7600709,[13932]
chr10,7863453,7863471,[14810]
chr10,8517079,8517097,[14459]
chr10,8640991,8641009,[14473]
chr10,10051380,10051398,[13995]
chr10,11165312,11165330,[13909]
chr10,12524435,12524453,[14493]
chr10,12813872,12813890,[15329]
chr10,12923334,12923352,[15322]
chr10,12980896,12980914,[14905]
chr10,14016484,14016503,[14174]
chr10,14043516,14043534,[14142]
chr10,17457514,17457532,[14518]
chr10,17926616,17926634,[14774]
chr10,19116942,19116961,[15256]
chr10,19504697,19504716,[15091]
chr10,19577827,19577845,[15316]
chr10,20230154,20230172,[14325]
chr10,21535855,21535873,[14429]
chr10,23942625,23942643,[13891]
chr10,25313779,25313797,[14090]
chr10,25395665,25395683,[14660]
chr10,26133545,26133563,[14058]
chr10,28594023,28594041,[15224]
chr10,29936958,29936976,[14358]
chr10,30802502,30802520,[15266]
chr10,32755215,32755233,[14259]
chr10,34735889,34735907,[14337]
chr10,38109015,38109033,[14121]
chr10,39470297,39470315,[14979]
chr10,40163543,40163561,[14801]
chr10,40342613,40342631,[13928]
chr10,40386305,40386323,[15043]
chr10,40420334,40420352,[15021]
chr10,40543708,40543726,[13974]
chr10,41614521,41614539,[14526]
chr10,41900017,41900035,[14890]
chr10,42219170,42219188,[14449]
chr10,43777889,43777907,[14131]
chr10,44418624,44418642,[14400]
chr10,44957872,44957890,[14576]
chr10,47412521,47412539,[14425]
chr10,49893563,49893581,[14161]
chr10,51727289,51727307,[14747]
chr10,52927151,52927169,[14214]
chr10,53595996,53596014,[14618]
chr10,53641715,53641734,[14005]
chr10,57743739,57743758,[14749]
chr10,58370379,58370397,[14635]
chr10,58446622,58446640,[15309]
chr10,58488563,58488581,[14510]
chr10,58756039,58756057,[14651]
chr10,59836642,59836660,[14169]
chr10,61145972,61145990,[15182]
chr10,61148095,61148113,[15108]
chr10,61418274,61418292,[14062]
chr10,61452338,61452356,[15218]
chr10,61520175,61520193,[15181]
chr10,61838700,61838718,[14709]
chr10,62506648,62506667,[15045]
chr10,62784511,62784529,[14499]
chr10,65125145,65125163,[14110]
chr10,66559484,66559502,[14470]
chr10,66864546,66864565,[15115]
chr10,67184590,67184608,[14710]
chr10,67184627,67184646,[14710]
chr10,67459035,67459053,[14714]
chr10,67998447,67998465,[14662]
chr10,68241237,68241255,[15300]
chr10,72654940,72654959,[14965]
chr10,74676718,74676736,[14877]
chr10,75740345,75740363,[14053]
chr10,77537023,77537041,[15250]
chr10,78605312,78605330,[14689]
chr10,79861787,79861809,[14379]
chr10,80676515,80676533,[14936]
chr10,80738933,80738951,[14016]
chr10,81017348,81017366,[15227]
chr10,81329324,81329342,[14560]
chr10,81384224,81384242,[14882]
chr10,81502586,81502604,[14987]
chr10,82170802,82170820,[14428]
chr10,82580603,82580621,[15211]
chr10,83719108,83719126,[14772]
chr10,85118774,85118792,[13921]
chr10,87972749,87972767,[14338]
chr10,87972797,87972815,[14338]
chr10,88730959,88730977,[15166]
chr10,90558172,90558190,[14800]
chr10,90614903,90614921,[14377]
chr10,93452180,93452199,[15349]
chr10,93688874,93688892,[13978]
chr10,94696772,94696790,[14763]
chr10,95397993,95398011,[14283]
chr10,95474995,95475014,[14362]
chr10,95699125,95699143,[14597]
chr10,95814949,95814967,[14870]
chr10,95879975,95879993,[14332]
chr10,95940013,95940032,[14160]
chr10,96393153,96393171,[14282]
chr10,96409539,96409557,[15289]
chr10,96609542,96609560,[15216]
chr10,96694066,96694084,[14906]
chr10,96786949,96786967,[15270]
chr10,96787317,96787335,[15270]
chr10,96822498,96822516,[14852]
chr10,96934984,96935002,[14190]
